province,GDP,Population,GDP per Capita
Antwerp,88015000000,1847486.00,47640.00
Brussels,83987000000,1198726.00,70064.00
East Flanders,56415000000,1505053.00,37484.00
Flemish Brabant,49832000000,1138489.00,43770.00
Hainaut,34239000000,1341645.00,25520.00
Liege,31639000000,1105326.00,28624.00
Limburg,28707000000,870880.00,32963.00
Luxembourg,7056000000,283227.00,24913.00
Missing,41778730000,1034188.00,40398.00
Namur,13461000000,493073.00,27300.00
Walloon Brabant,19299000000,401106.00,48114.00
West Flanders,46916000000,1191059.00,39390.00
